shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
7,33.809684,-117.915964,48,10.480225697846
7,33.809667,-117.916092,49,10.487667211094
7,33.809692,-117.916863,50,10.531961115746
7,33.809737,-117.91694,51,10.537365452717
8,33.805619,-117.911479,0,0
8,33.805119,-117.91142,1,0.034710659305209
8,33.805094,-117.910548,2,0.084801404467022
8,33.804989,-117.910109,3,0.11102744409235
8,33.803262,-117.910082,4,0.23035592461057
8,33.803242,-117.906714,5,0.4237195537547
8,33.803107,-117.906578,6,0.43588337098772
8,33.796131,-117.906372,7,0.91800029619007
8,33.788901,-117.906176,8,1.4176477507192
8,33.788853,-117.902542,9,1.6263390207554
8,33.788856,-117.897514,10,1.915047821719
8,33.787593,-117.897496,11,2.002314586164
8,33.782953,-117.897473,12,2.3228949115849
8,33.782944,-117.895112,13,2.4584747651307
8,33.7825,-117.895134,14,2.4891766929717
8,33.782508,-117.894019,15,2.5532073148136
8,33.782632,-117.894063,16,2.5621391566563
8,33.782672,-117.89409,17,2.5653080389013
8,33.782977,-117.894133,18,2.586524751031
8,33.783094,-117.894144,19,2.5946328659104
8,33.783228,-117.894076,20,2.6046807984154
8,33.783358,-117.894052,21,2.6137678942377
8,33.783356,-117.895121,22,2.6751541527
8,33.782311,-117.895133,23,2.7473564873258
8,33.781896,-117.895266,24,2.7770285254483
8,33.780669,-117.895255,25,2.8618043063771
8,33.780473,-117.895165,26,2.8762986081577
8,33.78028,-117.894973,27,2.8936008784043
8,33.780116,-117.894455,28,2.9254324511768
8,33.780115,-117.894309,29,2.9338169405331
8,33.779407,-117.89456,30,2.9848121353036
8,33.779364,-117.89418,31,3.0068354707476
8,33.779666,-117.891594,32,3.1567989235227
8,33.779977,-117.890079,33,3.2464138118487
8,33.779999,-117.888913,34,3.3133899507706
8,33.779248,-117.888934,35,3.3652905605468
8,33.778611,-117.889055,36,3.4098461042775
8,33.778036,-117.88927,37,3.4514472785375
8,33.775698,-117.89034,38,3.6242726292618
8,33.775704,-117.890858,39,3.6540237159798
8,33.775812,-117.890818,40,3.6618310039556
8,33.775884,-117.891002,41,3.673510175838
8,33.775891,-117.891017,42,3.6744972208394
8,33.775997,-117.891371,43,3.6961058752235
8,33.77564,-117.891381,44,3.720777699188
8,33.775629,-117.890379,45,3.7783266794113
8,33.774352,-117.890728,46,3.8688025784292
8,33.774441,-117.891341,47,3.9045400729362
8,33.774477,-117.892225,48,3.9553689202705
8,33.774465,-117.896884,49,4.2229358140514
8,33.77447,-117.897273,50,4.2452786597873
8,33.774528,-117.897368,51,4.2520480698915
8,33.774533,-117.900796,52,4.4489177152707
8,33.774518,-117.901124,53,4.4677833004731
8,33.774447,-117.901269,54,4.4774482086157
8,33.774426,-117.902213,55,4.5316813690479
8,33.774436,-117.902634,56,4.5558692227825
8,33.774503,-117.902811,57,4.5670386988329
8,33.774517,-117.907945,58,4.8618849301723
8,33.774721,-117.907956,59,4.8759933615039
8,33.774719,-117.908274,60,4.8942565520448
8,33.774717,-117.908296,61,4.8955271756759
8,33.774722,-117.908614,62,4.9137930332938
8,33.775009,-117.908616,63,4.9336220419725
8,33.775112,-117.908554,64,4.9415791972925
8,33.77533,-117.908552,65,4.9566411658166
8,33.775356,-117.908267,66,4.9731067383386
8,33.775387,-117.9082,67,4.9775102835473
8,33.775399,-117.907901,68,4.9947015928107
8,33.775307,-117.907887,69,5.0011087021253
8,33.774716,-117.907889,70,5.0419410695274
8,33.774648,-117.907966,71,5.0483930959908
8,33.774508,-117.907968,72,5.0580661010336
8,33.774478,-117.914827,73,5.4519827026686
8,33.776958,-117.914862,74,5.6233376867791
8,33.777106,-117.9149,75,5.633793244538
8,33.777235,-117.915029,76,5.6453826949348
8,33.777686,-117.91482,77,5.6787740474093
8,33.778014,-117.914753,78,5.7017599983749
8,33.783344,-117.91476,79,6.070009916789
8,33.788897,-117.914791,80,6.4536708119263
8,33.79002,-117.914829,81,6.5312895678492
8,33.790163,-117.914916,82,6.5423606380144
8,33.792499,-117.914998,83,6.7038235433216
8,33.795953,-117.915078,84,6.9425046030342
8,33.796085,-117.914998,85,6.9527156982389
8,33.804324,-117.915235,86,7.5221108083581
8,33.809419,-117.915274,87,7.8741314812993
8,33.809422,-117.915701,88,7.8986449835794
8,33.809492,-117.91577,89,7.9048962376659
8,33.809586,-117.915808,90,7.9117473945524
8,33.809675,-117.915839,91,7.918148527338
8,33.809693,-117.915999,92,7.9274172200224
8,33.809664,-117.916169,93,7.9373796011348
8,33.809696,-117.91685,94,7.976535654481
8,33.809727,-117.916979,95,7.9842444967048
9,33.789937,-117.914992,0,0
9,33.7889,-117.914942,1,0.071703814081591
9,33.788904,-117.916981,2,0.18878383452929
9,33.78864,-117.917061,3,0.20759308264678
9,33.788408,-117.916984,4,0.22422067946832
9,33.787991,-117.916488,5,0.26473231970466
9,33.787231,-117.915554,6,0.3397885463648
9,33.78718,-117.914805,7,0.38294123656575
9,33.788775,-117.914792,8,0.49314231192088
9,33.79002,-117.914829,9,0.57918560287329
9,33.792499,-117.914998,10,0.75073438719523
9,33.796085,-117.914998,11,0.99849112317027
9,33.797252,-117.915029,12,1.0791387574858
9,33.800066,-117.915101,13,1.2736019575231
9,33.80367,-117.915219,14,1.5226944536314
9,33.809431,-117.915275,15,1.920734925242
9,33.809417,-117.915672,16,1.9435458259609
9,33.809484,-117.915756,17,1.9502301479312
9,33.809625,-117.915776,18,1.9600394230909
9,33.809705,-117.915895,19,1.9688267373787
9,33.809658,-117.916146,20,1.9835971187263
9,33.80971,-117.917004,21,2.0329824941912
10,33.8096511762455,-117.917065730149,0,0
10,33.8095980971691,-117.916818244302,1,0.014673004584119
